datetime,D,NG,Diff,Day,Hour,CloseToLimit,Month
2025-05-01 00:00:00,2118.0,1754.0,-364.0,2025-05-01,0,True,2025-05
2025-05-01 01:00:00,2051.0,1726.0,-325.0,2025-05-01,1,True,2025-05
2025-05-01 02:00:00,2110.0,1824.0,-286.0,2025-05-01,2,True,2025-05
2025-05-01 03:00:00,1990.0,1627.0,-363.0,2025-05-01,3,True,2025-05
2025-05-01 04:00:00,1824.0,1555.0,-269.0,2025-05-01,4,True,2025-05
2025-05-01 05:00:00,1613.0,1440.0,-173.0,2025-05-01,5,True,2025-05
2025-05-01 06:00:00,1491.0,1434.0,-57.0,2025-05-01,6,True,2025-05
2025-05-01 07:00:00,1441.0,1419.0,-22.0,2025-05-01,7,True,2025-05
2025-05-01 08:00:00,1408.0,1388.0,-20.0,2025-05-01,8,True,2025-05
2025-05-01 09:00:00,1356.0,1215.0,-141.0,2025-05-01,9,True,2025-05
2025-05-01 10:00:00,1425.0,1155.0,-270.0,2025-05-01,10,True,2025-05
2025-05-01 11:00:00,1541.0,1056.0,-485.0,2025-05-01,11,True,2025-05
2025-05-01 12:00:00,1749.0,1176.0,-573.0,2025-05-01,12,True,2025-05
2025-05-01 13:00:00,1821.0,1216.0,-605.0,2025-05-01,13,True,2025-05
2025-05-01 14:00:00,1824.0,1050.0,-774.0,2025-05-01,14,True,2025-05
2025-05-01 15:00:00,1821.0,1149.0,-672.0,2025-05-01,15,True,2025-05
2025-05-01 16:00:00,1848.0,1342.0,-506.0,2025-05-01,16,True,2025-05
2025-05-01 17:00:00,1881.0,1542.0,-339.0,2025-05-01,17,True,2025-05
2025-05-01 18:00:00,1920.0,1740.0,-180.0,2025-05-01,18,True,2025-05
2025-05-01 19:00:00,2005.0,1862.0,-143.0,2025-05-01,19,True,2025-05
2025-05-01 20:00:00,2042.0,1965.0,-77.0,2025-05-01,20,True,2025-05
2025-05-01 21:00:00,2103.0,2082.0,-21.0,2025-05-01,21,True,2025-05
2025-05-01 22:00:00,2211.0,2218.0,7.0,2025-05-01,22,True,2025-05
2025-05-01 23:00:00,2306.0,2274.0,-32.0,2025-05-01,23,True,2025-05
2025-05-02 00:00:00,2320.0,2117.0,-203.0,2025-05-02,0,True,2025-05
2025-05-02 01:00:00,2231.0,1605.0,-626.0,2025-05-02,1,True,2025-05
2025-05-02 02:00:00,2208.0,1851.0,-357.0,2025-05-02,2,True,2025-05
2025-05-02 03:00:00,2117.0,1724.0,-393.0,2025-05-02,3,True,2025-05
2025-05-02 04:00:00,1884.0,1587.0,-297.0,2025-05-02,4,True,2025-05
2025-05-02 05:00:00,1685.0,1483.0,-202.0,2025-05-02,5,True,2025-05
2025-05-02 06:00:00,1525.0,1532.0,7.0,2025-05-02,6,True,2025-05
2025-05-02 07:00:00,1461.0,1503.0,42.0,2025-05-02,7,True,2025-05
2025-05-02 10:00:00,1447.0,1523.0,76.0,2025-05-02,10,True,2025-05
2025-05-02 11:00:00,1553.0,1593.0,40.0,2025-05-02,11,True,2025-05
2025-05-02 12:00:00,1759.0,1615.0,-144.0,2025-05-02,12,True,2025-05
2025-05-02 13:00:00,1835.0,1550.0,-285.0,2025-05-02,13,True,2025-05
2025-05-02 14:00:00,1864.0,1569.0,-295.0,2025-05-02,14,True,2025-05
2025-05-02 15:00:00,1877.0,1551.0,-326.0,2025-05-02,15,True,2025-05
2025-05-02 16:00:00,1892.0,1598.0,-294.0,2025-05-02,16,True,2025-05
2025-05-02 17:00:00,1888.0,1601.0,-287.0,2025-05-02,17,True,2025-05
2025-05-02 18:00:00,1885.0,1671.0,-214.0,2025-05-02,18,True,2025-05
2025-05-02 19:00:00,1873.0,1618.0,-255.0,2025-05-02,19,True,2025-05
2025-05-02 20:00:00,1874.0,1559.0,-315.0,2025-05-02,20,True,2025-05
2025-05-02 21:00:00,1885.0,1548.0,-337.0,2025-05-02,21,True,2025-05
2025-05-02 22:00:00,1956.0,1631.0,-325.0,2025-05-02,22,True,2025-05
2025-05-02 23:00:00,1999.0,1685.0,-314.0,2025-05-02,23,True,2025-05
2025-05-03 00:00:00,1991.0,1665.0,-326.0,2025-05-03,0,True,2025-05
2025-05-03 01:00:00,1956.0,1661.0,-295.0,2025-05-03,1,True,2025-05
2025-05-03 02:00:00,1951.0,1719.0,-232.0,2025-05-03,2,True,2025-05
2025-05-03 03:00:00,1919.0,1701.0,-218.0,2025-05-03,3,True,2025-05
2025-05-03 04:00:00,1767.0,1679.0,-88.0,2025-05-03,4,True,2025-05
2025-05-03 05:00:00,1632.0,1639.0,7.0,2025-05-03,5,True,2025-05
2025-05-03 06:00:00,1517.0,1596.0,79.0,2025-05-03,6,True,2025-05
2025-05-03 11:00:00,1504.0,1569.0,65.0,2025-05-03,11,True,2025-05
2025-05-03 12:00:00,1601.0,1531.0,-70.0,2025-05-03,12,True,2025-05
2025-05-03 13:00:00,1734.0,1496.0,-238.0,2025-05-03,13,True,2025-05
2025-05-03 14:00:00,1825.0,1556.0,-269.0,2025-05-03,14,True,2025-05
2025-05-03 15:00:00,1851.0,1680.0,-171.0,2025-05-03,15,True,2025-05
2025-05-03 16:00:00,1825.0,1655.0,-170.0,2025-05-03,16,True,2025-05
2025-05-03 17:00:00,1808.0,1717.0,-91.0,2025-05-03,17,True,2025-05
2025-05-03 18:00:00,1781.0,1816.0,35.0,2025-05-03,18,True,2025-05
2025-05-03 19:00:00,1773.0,1800.0,27.0,2025-05-03,19,True,2025-05
2025-05-03 20:00:00,1762.0,1822.0,60.0,2025-05-03,20,True,2025-05
2025-05-03 21:00:00,1772.0,1798.0,26.0,2025-05-03,21,True,2025-05
2025-05-03 22:00:00,1821.0,1755.0,-66.0,2025-05-03,22,True,2025-05
2025-05-03 23:00:00,1874.0,1784.0,-90.0,2025-05-03,23,True,2025-05
2025-05-04 00:00:00,1888.0,1661.0,-227.0,2025-05-04,0,True,2025-05
2025-05-04 01:00:00,1883.0,1534.0,-349.0,2025-05-04,1,True,2025-05
2025-05-04 02:00:00,1936.0,1559.0,-377.0,2025-05-04,2,True,2025-05
2025-05-04 03:00:00,1899.0,1562.0,-337.0,2025-05-04,3,True,2025-05
2025-05-04 04:00:00,1800.0,1494.0,-306.0,2025-05-04,4,True,2025-05
2025-05-04 05:00:00,1670.0,1525.0,-145.0,2025-05-04,5,True,2025-05
2025-05-04 06:00:00,1597.0,1450.0,-147.0,2025-05-04,6,True,2025-05
2025-05-04 07:00:00,1561.0,1371.0,-190.0,2025-05-04,7,True,2025-05
2025-05-04 08:00:00,1539.0,1467.0,-72.0,2025-05-04,8,True,2025-05
2025-05-04 09:00:00,1543.0,1436.0,-107.0,2025-05-04,9,True,2025-05
2025-05-04 10:00:00,1579.0,1470.0,-109.0,2025-05-04,10,True,2025-05
2025-05-04 11:00:00,1642.0,1485.0,-157.0,2025-05-04,11,True,2025-05
2025-05-04 12:00:00,1750.0,1406.0,-344.0,2025-05-04,12,True,2025-05
2025-05-04 13:00:00,1856.0,1463.0,-393.0,2025-05-04,13,True,2025-05
2025-05-04 14:00:00,1919.0,1442.0,-477.0,2025-05-04,14,True,2025-05
2025-05-04 15:00:00,1879.0,1381.0,-498.0,2025-05-04,15,True,2025-05
2025-05-04 16:00:00,1829.0,1404.0,-425.0,2025-05-04,16,True,2025-05
2025-05-04 17:00:00,1794.0,1373.0,-421.0,2025-05-04,17,True,2025-05
2025-05-04 18:00:00,1765.0,1432.0,-333.0,2025-05-04,18,True,2025-05
2025-05-04 19:00:00,1764.0,1431.0,-333.0,2025-05-04,19,True,2025-05
2025-05-04 20:00:00,1763.0,1464.0,-299.0,2025-05-04,20,True,2025-05
2025-05-04 21:00:00,1803.0,1400.0,-403.0,2025-05-04,21,True,2025-05
2025-05-04 22:00:00,1876.0,1399.0,-477.0,2025-05-04,22,True,2025-05
2025-05-04 23:00:00,1966.0,1512.0,-454.0,2025-05-04,23,True,2025-05
2025-05-05 00:00:00,1994.0,1472.0,-522.0,2025-05-05,0,True,2025-05
2025-05-05 01:00:00,1991.0,1411.0,-580.0,2025-05-05,1,True,2025-05
2025-05-05 02:00:00,2037.0,1548.0,-489.0,2025-05-05,2,True,2025-05
2025-05-05 03:00:00,1954.0,1678.0,-276.0,2025-05-05,3,True,2025-05
2025-05-05 04:00:00,1776.0,1676.0,-100.0,2025-05-05,4,True,2025-05
2025-05-05 05:00:00,1591.0,1492.0,-99.0,2025-05-05,5,True,2025-05
2025-05-05 06:00:00,1518.0,1398.0,-120.0,2025-05-05,6,True,2025-05
2025-05-05 07:00:00,1492.0,1478.0,-14.0,2025-05-05,7,True,2025-05
2025-05-05 08:00:00,1473.0,1437.0,-36.0,2025-05-05,8,True,2025-05
2025-05-05 09:00:00,1500.0,1427.0,-73.0,2025-05-05,9,True,2025-05
2025-05-05 10:00:00,1557.0,1459.0,-98.0,2025-05-05,10,True,2025-05
2025-05-05 11:00:00,1719.0,1541.0,-178.0,2025-05-05,11,True,2025-05
2025-05-05 12:00:00,1977.0,1694.0,-283.0,2025-05-05,12,True,2025-05
2025-05-05 13:00:00,2036.0,1575.0,-461.0,2025-05-05,13,True,2025-05
2025-05-05 14:00:00,1983.0,1644.0,-339.0,2025-05-05,14,True,2025-05
2025-05-05 15:00:00,1945.0,1705.0,-240.0,2025-05-05,15,True,2025-05
2025-05-05 16:00:00,1898.0,1711.0,-187.0,2025-05-05,16,True,2025-05
2025-05-05 17:00:00,1866.0,1777.0,-89.0,2025-05-05,17,True,2025-05
2025-05-05 18:00:00,1879.0,1754.0,-125.0,2025-05-05,18,True,2025-05
2025-05-05 19:00:00,1886.0,1734.0,-152.0,2025-05-05,19,True,2025-05
2025-05-05 20:00:00,1918.0,1708.0,-210.0,2025-05-05,20,True,2025-05
2025-05-05 21:00:00,1953.0,1672.0,-281.0,2025-05-05,21,True,2025-05
2025-05-05 22:00:00,2008.0,1795.0,-213.0,2025-05-05,22,True,2025-05
2025-05-05 23:00:00,2074.0,1804.0,-270.0,2025-05-05,23,True,2025-05
2025-05-06 00:00:00,2091.0,1815.0,-276.0,2025-05-06,0,True,2025-05
2025-05-06 01:00:00,2077.0,1801.0,-276.0,2025-05-06,1,True,2025-05
2025-05-06 02:00:00,2126.0,1837.0,-289.0,2025-05-06,2,True,2025-05
2025-05-06 03:00:00,2070.0,1766.0,-304.0,2025-05-06,3,True,2025-05
2025-05-06 04:00:00,1894.0,1788.0,-106.0,2025-05-06,4,True,2025-05
2025-05-06 05:00:00,1711.0,1626.0,-85.0,2025-05-06,5,True,2025-05
2025-05-06 06:00:00,1592.0,1449.0,-143.0,2025-05-06,6,True,2025-05
2025-05-06 07:00:00,1535.0,1556.0,21.0,2025-05-06,7,True,2025-05
2025-05-06 08:00:00,1536.0,1565.0,29.0,2025-05-06,8,True,2025-05
