datetime,D,NG,Diff,Day,Hour,CloseToLimit,Month
2023-07-01 00:00:00,4676.0,2617.0,-2059.0,2023-07-01,0,True,2023-07
2023-07-01 01:00:00,4462.0,2546.0,-1916.0,2023-07-01,1,True,2023-07
2023-07-01 02:00:00,4197.0,2463.0,-1734.0,2023-07-01,2,True,2023-07
2023-07-01 03:00:00,4010.0,2470.0,-1540.0,2023-07-01,3,True,2023-07
2023-07-01 04:00:00,3718.0,2484.0,-1234.0,2023-07-01,4,True,2023-07
2023-07-01 05:00:00,3397.0,2430.0,-967.0,2023-07-01,5,True,2023-07
2023-07-01 06:00:00,3102.0,2314.0,-788.0,2023-07-01,6,True,2023-07
2023-07-01 07:00:00,2902.0,2239.0,-663.0,2023-07-01,7,True,2023-07
2023-07-01 08:00:00,2771.0,2286.0,-485.0,2023-07-01,8,True,2023-07
2023-07-01 09:00:00,2654.0,2347.0,-307.0,2023-07-01,9,True,2023-07
2023-07-01 10:00:00,2542.0,2281.0,-261.0,2023-07-01,10,True,2023-07
2023-07-01 11:00:00,2512.0,2190.0,-322.0,2023-07-01,11,True,2023-07
2023-07-01 12:00:00,2491.0,2156.0,-335.0,2023-07-01,12,True,2023-07
2023-07-01 13:00:00,2631.0,2137.0,-494.0,2023-07-01,13,True,2023-07
2023-07-01 14:00:00,2853.0,2198.0,-655.0,2023-07-01,14,True,2023-07
2023-07-01 15:00:00,3081.0,2145.0,-936.0,2023-07-01,15,True,2023-07
2023-07-01 16:00:00,3299.0,2168.0,-1131.0,2023-07-01,16,True,2023-07
2023-07-01 17:00:00,3524.0,2253.0,-1271.0,2023-07-01,17,True,2023-07
2023-07-01 18:00:00,3702.0,2301.0,-1401.0,2023-07-01,18,True,2023-07
2023-07-01 19:00:00,3739.0,2351.0,-1388.0,2023-07-01,19,True,2023-07
2023-07-01 20:00:00,3774.0,2442.0,-1332.0,2023-07-01,20,True,2023-07
2023-07-01 21:00:00,3742.0,2491.0,-1251.0,2023-07-01,21,True,2023-07
2023-07-01 22:00:00,3683.0,2485.0,-1198.0,2023-07-01,22,True,2023-07
2023-07-01 23:00:00,3725.0,2578.0,-1147.0,2023-07-01,23,True,2023-07
2023-07-02 00:00:00,3703.0,2538.0,-1165.0,2023-07-02,0,True,2023-07
2023-07-02 01:00:00,3550.0,2311.0,-1239.0,2023-07-02,1,True,2023-07
2023-07-02 02:00:00,3338.0,2251.0,-1087.0,2023-07-02,2,True,2023-07
2023-07-02 03:00:00,3178.0,2177.0,-1001.0,2023-07-02,3,True,2023-07
2023-07-02 04:00:00,2967.0,2251.0,-716.0,2023-07-02,4,True,2023-07
2023-07-02 05:00:00,2713.0,2253.0,-460.0,2023-07-02,5,True,2023-07
2023-07-02 06:00:00,2462.0,2197.0,-265.0,2023-07-02,6,True,2023-07
2023-07-02 07:00:00,2295.0,2156.0,-139.0,2023-07-02,7,True,2023-07
2023-07-02 08:00:00,2185.0,2127.0,-58.0,2023-07-02,8,True,2023-07
2023-07-02 09:00:00,2098.0,2035.0,-63.0,2023-07-02,9,True,2023-07
2023-07-02 10:00:00,2060.0,2011.0,-49.0,2023-07-02,10,True,2023-07
2023-07-02 11:00:00,2020.0,2009.0,-11.0,2023-07-02,11,True,2023-07
2023-07-02 12:00:00,2070.0,1875.0,-195.0,2023-07-02,12,True,2023-07
2023-07-02 13:00:00,2227.0,1972.0,-255.0,2023-07-02,13,True,2023-07
2023-07-02 14:00:00,2498.0,2075.0,-423.0,2023-07-02,14,True,2023-07
2023-07-02 15:00:00,2738.0,2113.0,-625.0,2023-07-02,15,True,2023-07
2023-07-02 16:00:00,2951.0,2231.0,-720.0,2023-07-02,16,True,2023-07
2023-07-02 17:00:00,3167.0,2246.0,-921.0,2023-07-02,17,True,2023-07
2023-07-02 18:00:00,3356.0,2251.0,-1105.0,2023-07-02,18,True,2023-07
2023-07-02 19:00:00,3510.0,2464.0,-1046.0,2023-07-02,19,True,2023-07
2023-07-02 20:00:00,3617.0,2498.0,-1119.0,2023-07-02,20,True,2023-07
2023-07-02 21:00:00,3704.0,2518.0,-1186.0,2023-07-02,21,True,2023-07
2023-07-02 22:00:00,3795.0,2523.0,-1272.0,2023-07-02,22,True,2023-07
2023-07-02 23:00:00,3869.0,2511.0,-1358.0,2023-07-02,23,True,2023-07
2023-07-03 00:00:00,3836.0,2451.0,-1385.0,2023-07-03,0,True,2023-07
2023-07-03 01:00:00,3661.0,2421.0,-1240.0,2023-07-03,1,True,2023-07
2023-07-03 02:00:00,3398.0,2219.0,-1179.0,2023-07-03,2,True,2023-07
2023-07-03 03:00:00,3188.0,2220.0,-968.0,2023-07-03,3,True,2023-07
2023-07-03 04:00:00,2940.0,2260.0,-680.0,2023-07-03,4,True,2023-07
2023-07-03 05:00:00,2648.0,2153.0,-495.0,2023-07-03,5,True,2023-07
2023-07-03 06:00:00,2365.0,2122.0,-243.0,2023-07-03,6,True,2023-07
2023-07-03 07:00:00,2212.0,2162.0,-50.0,2023-07-03,7,True,2023-07
2023-07-03 08:00:00,2092.0,2071.0,-21.0,2023-07-03,8,True,2023-07
2023-07-03 09:00:00,2025.0,2000.0,-25.0,2023-07-03,9,True,2023-07
2023-07-03 10:00:00,1980.0,1973.0,-7.0,2023-07-03,10,True,2023-07
2023-07-03 11:00:00,2015.0,1981.0,-34.0,2023-07-03,11,True,2023-07
2023-07-03 12:00:00,2093.0,2020.0,-73.0,2023-07-03,12,True,2023-07
2023-07-03 13:00:00,2308.0,2053.0,-255.0,2023-07-03,13,True,2023-07
2023-07-03 14:00:00,2594.0,2120.0,-474.0,2023-07-03,14,True,2023-07
2023-07-03 15:00:00,2937.0,2154.0,-783.0,2023-07-03,15,True,2023-07
2023-07-03 16:00:00,3279.0,2196.0,-1083.0,2023-07-03,16,True,2023-07
2023-07-03 17:00:00,3526.0,2312.0,-1214.0,2023-07-03,17,True,2023-07
2023-07-03 18:00:00,3734.0,2426.0,-1308.0,2023-07-03,18,True,2023-07
2023-07-03 19:00:00,3912.0,2428.0,-1484.0,2023-07-03,19,True,2023-07
2023-07-03 20:00:00,3967.0,2407.0,-1560.0,2023-07-03,20,True,2023-07
2023-07-03 21:00:00,3996.0,2362.0,-1634.0,2023-07-03,21,True,2023-07
2023-07-03 22:00:00,4000.0,2437.0,-1563.0,2023-07-03,22,True,2023-07
2023-07-03 23:00:00,4000.0,2472.0,-1528.0,2023-07-03,23,True,2023-07
2023-07-04 00:00:00,3911.0,2454.0,-1457.0,2023-07-04,0,True,2023-07
2023-07-04 01:00:00,3706.0,2468.0,-1238.0,2023-07-04,1,True,2023-07
2023-07-04 02:00:00,3482.0,2335.0,-1147.0,2023-07-04,2,True,2023-07
2023-07-04 03:00:00,3287.0,2284.0,-1003.0,2023-07-04,3,True,2023-07
2023-07-04 04:00:00,3056.0,2176.0,-880.0,2023-07-04,4,True,2023-07
2023-07-04 05:00:00,2783.0,2227.0,-556.0,2023-07-04,5,True,2023-07
2023-07-04 06:00:00,2530.0,2183.0,-347.0,2023-07-04,6,True,2023-07
2023-07-04 07:00:00,2341.0,1994.0,-347.0,2023-07-04,7,True,2023-07
2023-07-04 08:00:00,2222.0,1874.0,-348.0,2023-07-04,8,True,2023-07
2023-07-04 09:00:00,2143.0,1792.0,-351.0,2023-07-04,9,True,2023-07
2023-07-04 10:00:00,2104.0,1798.0,-306.0,2023-07-04,10,True,2023-07
2023-07-04 11:00:00,2087.0,1826.0,-261.0,2023-07-04,11,True,2023-07
2023-07-04 12:00:00,2124.0,1774.0,-350.0,2023-07-04,12,True,2023-07
2023-07-04 13:00:00,2302.0,1926.0,-376.0,2023-07-04,13,True,2023-07
2023-07-04 14:00:00,2635.0,2000.0,-635.0,2023-07-04,14,True,2023-07
2023-07-04 15:00:00,3014.0,2116.0,-898.0,2023-07-04,15,True,2023-07
2023-07-04 16:00:00,3392.0,2179.0,-1213.0,2023-07-04,16,True,2023-07
2023-07-04 17:00:00,3725.0,2355.0,-1370.0,2023-07-04,17,True,2023-07
2023-07-04 18:00:00,3959.0,2461.0,-1498.0,2023-07-04,18,True,2023-07
2023-07-04 19:00:00,4126.0,2585.0,-1541.0,2023-07-04,19,True,2023-07
2023-07-04 20:00:00,4254.0,2528.0,-1726.0,2023-07-04,20,True,2023-07
