datetime,D,NG,Diff,Day,Hour,CloseToLimit,Month
2023-09-01 00:00:00,3425.0,2988.0,-437.0,2023-09-01,0,True,2023-09
2023-09-01 01:00:00,3164.0,2834.0,-330.0,2023-09-01,1,True,2023-09
2023-09-01 02:00:00,3050.0,2805.0,-245.0,2023-09-01,2,True,2023-09
2023-09-01 03:00:00,2810.0,2538.0,-272.0,2023-09-01,3,True,2023-09
2023-09-01 04:00:00,2523.0,2298.0,-225.0,2023-09-01,4,True,2023-09
2023-09-01 05:00:00,2261.0,1945.0,-316.0,2023-09-01,5,True,2023-09
2023-09-01 06:00:00,2093.0,1742.0,-351.0,2023-09-01,6,True,2023-09
2023-09-01 07:00:00,1993.0,1723.0,-270.0,2023-09-01,7,True,2023-09
2023-09-01 08:00:00,1907.0,1677.0,-230.0,2023-09-01,8,True,2023-09
2023-09-01 09:00:00,1866.0,1654.0,-212.0,2023-09-01,9,True,2023-09
2023-09-01 10:00:00,1890.0,1637.0,-253.0,2023-09-01,10,True,2023-09
2023-09-01 11:00:00,1951.0,1652.0,-299.0,2023-09-01,11,True,2023-09
2023-09-01 12:00:00,2105.0,1861.0,-244.0,2023-09-01,12,True,2023-09
2023-09-01 13:00:00,2148.0,1956.0,-192.0,2023-09-01,13,True,2023-09
2023-09-01 14:00:00,2195.0,1976.0,-219.0,2023-09-01,14,True,2023-09
2023-09-01 15:00:00,2303.0,2121.0,-182.0,2023-09-01,15,True,2023-09
2023-09-01 16:00:00,2430.0,2329.0,-101.0,2023-09-01,16,True,2023-09
2023-09-01 17:00:00,2589.0,2442.0,-147.0,2023-09-01,17,True,2023-09
2023-09-01 18:00:00,2856.0,2637.0,-219.0,2023-09-01,18,True,2023-09
2023-09-01 19:00:00,3085.0,2819.0,-266.0,2023-09-01,19,True,2023-09
2023-09-01 20:00:00,3273.0,3011.0,-262.0,2023-09-01,20,True,2023-09
2023-09-01 21:00:00,3470.0,3081.0,-389.0,2023-09-01,21,True,2023-09
2023-09-01 22:00:00,3642.0,3077.0,-565.0,2023-09-01,22,True,2023-09
2023-09-01 23:00:00,3655.0,3065.0,-590.0,2023-09-01,23,True,2023-09
2023-09-02 00:00:00,3511.0,2967.0,-544.0,2023-09-02,0,True,2023-09
2023-09-02 01:00:00,3219.0,2646.0,-573.0,2023-09-02,1,True,2023-09
2023-09-02 02:00:00,3025.0,2615.0,-410.0,2023-09-02,2,True,2023-09
2023-09-02 03:00:00,2895.0,2372.0,-523.0,2023-09-02,3,True,2023-09
2023-09-02 04:00:00,2657.0,2182.0,-475.0,2023-09-02,4,True,2023-09
2023-09-02 05:00:00,2427.0,2027.0,-400.0,2023-09-02,5,True,2023-09
2023-09-02 06:00:00,2190.0,1864.0,-326.0,2023-09-02,6,True,2023-09
2023-09-02 07:00:00,2064.0,1810.0,-254.0,2023-09-02,7,True,2023-09
2023-09-02 08:00:00,2003.0,1758.0,-245.0,2023-09-02,8,True,2023-09
