datetime,D,NG,Diff,Day,Hour,CloseToLimit,Month
2024-01-01 00:00:00,3538,3390,-148,2024-01-01,0,True,2024-01
2024-01-01 01:00:00,3493,3242,-251,2024-01-01,1,True,2024-01
2024-01-01 02:00:00,3423,3131,-292,2024-01-01,2,True,2024-01
2024-01-01 03:00:00,3322,2981,-341,2024-01-01,3,True,2024-01
2024-01-01 04:00:00,3257,2860,-397,2024-01-01,4,True,2024-01
2024-01-01 05:00:00,3170,2882,-288,2024-01-01,5,True,2024-01
2024-01-01 06:00:00,3104,2823,-281,2024-01-01,6,True,2024-01
2024-01-01 07:00:00,3045,2903,-142,2024-01-01,7,True,2024-01
2024-01-01 08:00:00,3000,2965,-35,2024-01-01,8,True,2024-01
2024-01-01 09:00:00,2990,3064,74,2024-01-01,9,True,2024-01
2024-01-01 11:00:00,3038,3177,139,2024-01-01,11,True,2024-01
2024-01-01 12:00:00,3090,3144,54,2024-01-01,12,True,2024-01
2024-01-01 13:00:00,3181,3222,41,2024-01-01,13,True,2024-01
2024-01-01 14:00:00,3284,3357,73,2024-01-01,14,True,2024-01
2024-01-01 15:00:00,3351,3271,-80,2024-01-01,15,True,2024-01
2024-01-01 16:00:00,3453,3349,-104,2024-01-01,16,True,2024-01
2024-01-01 17:00:00,3451,3354,-97,2024-01-01,17,True,2024-01
2024-01-01 18:00:00,3412,3387,-25,2024-01-01,18,True,2024-01
2024-01-01 19:00:00,3270,3407,137,2024-01-01,19,True,2024-01
2024-01-01 22:00:00,3030,3205,175,2024-01-01,22,True,2024-01
2024-01-01 23:00:00,3166,3206,40,2024-01-01,23,True,2024-01
2024-01-02 00:00:00,3453,3338,-115,2024-01-02,0,True,2024-01
2024-01-02 01:00:00,3629,3430,-199,2024-01-02,1,True,2024-01
2024-01-02 02:00:00,3633,3632,-1,2024-01-02,2,True,2024-01
2024-01-02 03:00:00,3667,3726,59,2024-01-02,3,True,2024-01
2024-01-02 07:00:00,3418,3617,199,2024-01-02,7,True,2024-01
2024-01-02 08:00:00,3425,3619,194,2024-01-02,8,True,2024-01
2024-01-02 13:00:00,3918,4023,105,2024-01-02,13,True,2024-01
2024-01-02 14:00:00,3977,3945,-32,2024-01-02,14,True,2024-01
2024-01-02 15:00:00,3876,3965,89,2024-01-02,15,True,2024-01
2024-01-02 16:00:00,3708,3919,211,2024-01-02,16,True,2024-01
2024-01-03 12:00:00,3581,3764,183,2024-01-03,12,True,2024-01
2024-01-03 13:00:00,3826,3836,10,2024-01-03,13,True,2024-01
2024-01-03 14:00:00,3898,3875,-23,2024-01-03,14,True,2024-01
2024-01-03 15:00:00,3789,3940,151,2024-01-03,15,True,2024-01
2024-01-04 13:00:00,3696,3854,158,2024-01-04,13,True,2024-01
2024-01-04 14:00:00,3754,3850,96,2024-01-04,14,True,2024-01
2024-01-04 15:00:00,3686,3869,183,2024-01-04,15,True,2024-01
2024-01-06 00:00:00,3493,3594,101,2024-01-06,0,True,2024-01
2024-01-06 01:00:00,3475,3581,106,2024-01-06,1,True,2024-01
2024-01-06 02:00:00,3427,3507,80,2024-01-06,2,True,2024-01
2024-01-08 12:00:00,3301,3365,64,2024-01-08,12,True,2024-01
2024-01-08 13:00:00,3535,3631,96,2024-01-08,13,True,2024-01
2024-01-08 14:00:00,3602,3798,196,2024-01-08,14,True,2024-01
2024-01-08 17:00:00,3552,3774,222,2024-01-08,17,True,2024-01
2024-01-08 18:00:00,3550,3683,133,2024-01-08,18,True,2024-01
2024-01-09 00:00:00,3792,3879,87,2024-01-09,0,True,2024-01
2024-01-09 01:00:00,3799,3681,-118,2024-01-09,1,True,2024-01
2024-01-09 02:00:00,3712,3573,-139,2024-01-09,2,True,2024-01
2024-01-09 03:00:00,3623,3496,-127,2024-01-09,3,True,2024-01
2024-01-09 04:00:00,3420,3247,-173,2024-01-09,4,True,2024-01
2024-01-09 05:00:00,3249,3043,-206,2024-01-09,5,True,2024-01
2024-01-09 06:00:00,3061,2760,-301,2024-01-09,6,True,2024-01
2024-01-09 07:00:00,3006,2571,-435,2024-01-09,7,True,2024-01
2024-01-09 08:00:00,2975,2580,-395,2024-01-09,8,True,2024-01
2024-01-09 09:00:00,2974,2566,-408,2024-01-09,9,True,2024-01
2024-01-09 10:00:00,2985,2593,-392,2024-01-09,10,True,2024-01
2024-01-09 11:00:00,3055,2747,-308,2024-01-09,11,True,2024-01
2024-01-09 12:00:00,3203,2908,-295,2024-01-09,12,True,2024-01
2024-01-09 13:00:00,3432,3219,-213,2024-01-09,13,True,2024-01
2024-01-09 14:00:00,3574,3477,-97,2024-01-09,14,True,2024-01
2024-01-09 15:00:00,3612,3639,27,2024-01-09,15,True,2024-01
2024-01-09 16:00:00,3637,3687,50,2024-01-09,16,True,2024-01
2024-01-09 17:00:00,3689,3831,142,2024-01-09,17,True,2024-01
2024-01-09 18:00:00,3702,3804,102,2024-01-09,18,True,2024-01
2024-01-09 19:00:00,3703,3822,119,2024-01-09,19,True,2024-01
2024-01-09 20:00:00,3711,3860,149,2024-01-09,20,True,2024-01
2024-01-10 02:00:00,4014,4203,189,2024-01-10,2,True,2024-01
2024-01-10 03:00:00,3917,4086,169,2024-01-10,3,True,2024-01
2024-01-10 04:00:00,3810,3840,30,2024-01-10,4,True,2024-01
2024-01-10 05:00:00,3604,3692,88,2024-01-10,5,True,2024-01
2024-01-10 06:00:00,3491,3646,155,2024-01-10,6,True,2024-01
2024-01-10 07:00:00,3438,3582,144,2024-01-10,7,True,2024-01
2024-01-10 08:00:00,3434,3569,135,2024-01-10,8,True,2024-01
2024-01-10 09:00:00,3428,3554,126,2024-01-10,9,True,2024-01
2024-01-10 10:00:00,3474,3407,-67,2024-01-10,10,True,2024-01
2024-01-10 11:00:00,3547,3547,0,2024-01-10,11,True,2024-01
2024-01-10 12:00:00,3721,3789,68,2024-01-10,12,True,2024-01
2024-01-10 13:00:00,3974,4094,120,2024-01-10,13,True,2024-01
2024-01-10 14:00:00,4059,4251,192,2024-01-10,14,True,2024-01
2024-01-11 12:00:00,3508,3625,117,2024-01-11,12,True,2024-01
2024-01-11 13:00:00,3783,3843,60,2024-01-11,13,True,2024-01
2024-01-11 14:00:00,3881,3823,-58,2024-01-11,14,True,2024-01
2024-01-11 15:00:00,3673,3779,106,2024-01-11,15,True,2024-01
2024-01-11 16:00:00,3403,3578,175,2024-01-11,16,True,2024-01
2024-01-12 03:00:00,3242,3356,114,2024-01-12,3,True,2024-01
2024-01-12 04:00:00,3098,3154,56,2024-01-12,4,True,2024-01
2024-01-12 05:00:00,2984,2998,14,2024-01-12,5,True,2024-01
2024-01-12 06:00:00,2862,2869,7,2024-01-12,6,True,2024-01
2024-01-12 07:00:00,2814,2872,58,2024-01-12,7,True,2024-01
2024-01-12 08:00:00,2799,2839,40,2024-01-12,8,True,2024-01
2024-01-12 09:00:00,2829,2832,3,2024-01-12,9,True,2024-01
2024-01-12 10:00:00,2910,2897,-13,2024-01-12,10,True,2024-01
2024-01-12 11:00:00,2986,2908,-78,2024-01-12,11,True,2024-01
2024-01-12 12:00:00,3170,3100,-70,2024-01-12,12,True,2024-01
2024-01-12 13:00:00,3464,3358,-106,2024-01-12,13,True,2024-01
2024-01-12 14:00:00,3613,3521,-92,2024-01-12,14,True,2024-01
2024-01-12 15:00:00,3709,3679,-30,2024-01-12,15,True,2024-01
2024-01-12 16:00:00,3857,3566,-291,2024-01-12,16,True,2024-01
2024-01-12 17:00:00,3968,3774,-194,2024-01-12,17,True,2024-01
2024-01-12 18:00:00,4067,3765,-302,2024-01-12,18,True,2024-01
2024-01-12 19:00:00,4178,3758,-420,2024-01-12,19,True,2024-01
2024-01-12 20:00:00,4224,3865,-359,2024-01-12,20,True,2024-01
2024-01-12 21:00:00,4287,3891,-396,2024-01-12,21,True,2024-01
2024-01-12 22:00:00,4351,3924,-427,2024-01-12,22,True,2024-01
2024-01-12 23:00:00,4488,4026,-462,2024-01-12,23,True,2024-01
2024-01-13 00:00:00,4706,4207,-499,2024-01-13,0,True,2024-01
2024-01-13 01:00:00,4776,4143,-633,2024-01-13,1,True,2024-01
2024-01-13 02:00:00,4740,4042,-698,2024-01-13,2,True,2024-01
2024-01-13 03:00:00,4718,4183,-535,2024-01-13,3,True,2024-01
2024-01-13 04:00:00,4646,4145,-501,2024-01-13,4,True,2024-01
2024-01-13 05:00:00,4543,4090,-453,2024-01-13,5,True,2024-01
2024-01-13 06:00:00,4445,4002,-443,2024-01-13,6,True,2024-01
2024-01-13 07:00:00,4427,3700,-727,2024-01-13,7,True,2024-01
2024-01-13 08:00:00,4395,3628,-767,2024-01-13,8,True,2024-01
2024-01-13 09:00:00,4418,3626,-792,2024-01-13,9,True,2024-01
2024-01-13 10:00:00,4461,3626,-835,2024-01-13,10,True,2024-01
2024-01-13 11:00:00,4520,3656,-864,2024-01-13,11,True,2024-01
2024-01-13 12:00:00,4628,3857,-771,2024-01-13,12,True,2024-01
2024-01-13 13:00:00,4734,3896,-838,2024-01-13,13,True,2024-01
2024-01-13 14:00:00,4840,3795,-1045,2024-01-13,14,True,2024-01
2024-01-13 15:00:00,4868,3677,-1191,2024-01-13,15,True,2024-01
2024-01-13 16:00:00,4762,3608,-1154,2024-01-13,16,True,2024-01
2024-01-13 17:00:00,4665,3571,-1094,2024-01-13,17,True,2024-01
2024-01-13 18:00:00,4510,3576,-934,2024-01-13,18,True,2024-01
2024-01-13 19:00:00,4380,3464,-916,2024-01-13,19,True,2024-01
2024-01-13 20:00:00,4312,3383,-929,2024-01-13,20,True,2024-01
