datetime,D,NG,Diff,Day,Hour,CloseToLimit,Month
2025-07-01 20:00:00,3451.0,3626.0,175.0,2025-07-01,20,True,2025-07
2025-07-01 21:00:00,3561.0,3688.0,127.0,2025-07-01,21,True,2025-07
2025-07-01 22:00:00,3644.0,3726.0,82.0,2025-07-01,22,True,2025-07
2025-07-01 23:00:00,3697.0,3738.0,41.0,2025-07-01,23,True,2025-07
2025-07-02 00:00:00,3639.0,3745.0,106.0,2025-07-02,0,True,2025-07
2025-07-02 19:00:00,3359.0,3542.0,183.0,2025-07-02,19,True,2025-07
2025-07-02 20:00:00,3473.0,3651.0,178.0,2025-07-02,20,True,2025-07
2025-07-02 22:00:00,3652.0,3867.0,215.0,2025-07-02,22,True,2025-07
2025-07-02 23:00:00,3722.0,3876.0,154.0,2025-07-02,23,True,2025-07
2025-07-03 00:00:00,3652.0,3540.0,-112.0,2025-07-03,0,True,2025-07
2025-07-03 01:00:00,3494.0,3363.0,-131.0,2025-07-03,1,True,2025-07
2025-07-03 03:00:00,3052.0,2891.0,-161.0,2025-07-03,3,True,2025-07
2025-07-03 04:00:00,2785.0,2575.0,-210.0,2025-07-03,4,True,2025-07
2025-07-03 05:00:00,2455.0,2382.0,-73.0,2025-07-03,5,True,2025-07
2025-07-03 06:00:00,2180.0,2093.0,-87.0,2025-07-03,6,True,2025-07
2025-07-03 17:00:00,3220.0,3241.0,21.0,2025-07-03,17,True,2025-07
2025-07-03 18:00:00,3469.0,3192.0,-277.0,2025-07-03,18,True,2025-07
2025-07-03 19:00:00,3656.0,3251.0,-405.0,2025-07-03,19,True,2025-07
2025-07-03 20:00:00,3809.0,3266.0,-543.0,2025-07-03,20,True,2025-07
2025-07-03 21:00:00,3940.0,3275.0,-665.0,2025-07-03,21,True,2025-07
2025-07-03 22:00:00,4017.0,3487.0,-530.0,2025-07-03,22,True,2025-07
2025-07-03 23:00:00,4060.0,3425.0,-635.0,2025-07-03,23,True,2025-07
2025-07-04 00:00:00,4003.0,3356.0,-647.0,2025-07-04,0,True,2025-07
2025-07-04 01:00:00,3792.0,3221.0,-571.0,2025-07-04,1,True,2025-07
2025-07-04 02:00:00,3507.0,3111.0,-396.0,2025-07-04,2,True,2025-07
2025-07-04 03:00:00,3310.0,3075.0,-235.0,2025-07-04,3,True,2025-07
2025-07-04 04:00:00,3048.0,3018.0,-30.0,2025-07-04,4,True,2025-07
2025-07-04 05:00:00,2747.0,2692.0,-55.0,2025-07-04,5,True,2025-07
2025-07-04 06:00:00,2465.0,2157.0,-308.0,2025-07-04,6,True,2025-07
2025-07-04 07:00:00,2284.0,1891.0,-393.0,2025-07-04,7,True,2025-07
2025-07-04 08:00:00,2117.0,1724.0,-393.0,2025-07-04,8,True,2025-07
2025-07-04 09:00:00,2011.0,1545.0,-466.0,2025-07-04,9,True,2025-07
2025-07-04 10:00:00,1944.0,1385.0,-559.0,2025-07-04,10,True,2025-07
2025-07-04 11:00:00,1918.0,1353.0,-565.0,2025-07-04,11,True,2025-07
2025-07-04 12:00:00,1934.0,1372.0,-562.0,2025-07-04,12,True,2025-07
2025-07-04 13:00:00,2178.0,1721.0,-457.0,2025-07-04,13,True,2025-07
2025-07-04 14:00:00,2489.0,2057.0,-432.0,2025-07-04,14,True,2025-07
2025-07-04 15:00:00,2874.0,2464.0,-410.0,2025-07-04,15,True,2025-07
2025-07-04 16:00:00,3177.0,2804.0,-373.0,2025-07-04,16,True,2025-07
2025-07-04 17:00:00,3449.0,3145.0,-304.0,2025-07-04,17,True,2025-07
2025-07-04 18:00:00,3623.0,3169.0,-454.0,2025-07-04,18,True,2025-07
2025-07-04 19:00:00,3774.0,3246.0,-528.0,2025-07-04,19,True,2025-07
2025-07-04 20:00:00,3871.0,3347.0,-524.0,2025-07-04,20,True,2025-07
2025-07-04 21:00:00,3975.0,3388.0,-587.0,2025-07-04,21,True,2025-07
2025-07-04 22:00:00,4021.0,3342.0,-679.0,2025-07-04,22,True,2025-07
2025-07-04 23:00:00,4015.0,3288.0,-727.0,2025-07-04,23,True,2025-07
2025-07-05 00:00:00,3909.0,3216.0,-693.0,2025-07-05,0,True,2025-07
2025-07-05 01:00:00,3671.0,3036.0,-635.0,2025-07-05,1,True,2025-07
2025-07-05 02:00:00,3325.0,2950.0,-375.0,2025-07-05,2,True,2025-07
2025-07-05 03:00:00,3089.0,2993.0,-96.0,2025-07-05,3,True,2025-07
2025-07-05 04:00:00,2953.0,2956.0,3.0,2025-07-05,4,True,2025-07
2025-07-05 05:00:00,2774.0,2804.0,30.0,2025-07-05,5,True,2025-07
2025-07-05 06:00:00,2506.0,2617.0,111.0,2025-07-05,6,True,2025-07
2025-07-05 07:00:00,2273.0,2416.0,143.0,2025-07-05,7,True,2025-07
2025-07-05 08:00:00,2135.0,2235.0,100.0,2025-07-05,8,True,2025-07
2025-07-05 09:00:00,2036.0,2075.0,39.0,2025-07-05,9,True,2025-07
2025-07-05 10:00:00,1977.0,2042.0,65.0,2025-07-05,10,True,2025-07
2025-07-05 15:00:00,2881.0,3008.0,127.0,2025-07-05,15,True,2025-07
2025-07-05 16:00:00,3149.0,3133.0,-16.0,2025-07-05,16,True,2025-07
2025-07-05 17:00:00,3416.0,3246.0,-170.0,2025-07-05,17,True,2025-07
2025-07-05 18:00:00,3555.0,3355.0,-200.0,2025-07-05,18,True,2025-07
2025-07-05 19:00:00,3655.0,3539.0,-116.0,2025-07-05,19,True,2025-07
2025-07-05 20:00:00,3771.0,3599.0,-172.0,2025-07-05,20,True,2025-07
2025-07-05 21:00:00,3828.0,3608.0,-220.0,2025-07-05,21,True,2025-07
2025-07-05 22:00:00,3876.0,3581.0,-295.0,2025-07-05,22,True,2025-07
2025-07-05 23:00:00,3897.0,3500.0,-397.0,2025-07-05,23,True,2025-07
2025-07-06 00:00:00,3806.0,3389.0,-417.0,2025-07-06,0,True,2025-07
2025-07-06 01:00:00,3592.0,3181.0,-411.0,2025-07-06,1,True,2025-07
2025-07-06 02:00:00,3353.0,3179.0,-174.0,2025-07-06,2,True,2025-07
2025-07-06 03:00:00,3201.0,3052.0,-149.0,2025-07-06,3,True,2025-07
2025-07-06 04:00:00,2980.0,2877.0,-103.0,2025-07-06,4,True,2025-07
2025-07-06 05:00:00,2708.0,2670.0,-38.0,2025-07-06,5,True,2025-07
2025-07-06 06:00:00,2472.0,2346.0,-126.0,2025-07-06,6,True,2025-07
2025-07-06 07:00:00,2274.0,2111.0,-163.0,2025-07-06,7,True,2025-07
2025-07-06 08:00:00,2129.0,1967.0,-162.0,2025-07-06,8,True,2025-07
2025-07-06 09:00:00,2055.0,1886.0,-169.0,2025-07-06,9,True,2025-07
2025-07-06 10:00:00,2003.0,1886.0,-117.0,2025-07-06,10,True,2025-07
2025-07-06 11:00:00,1996.0,1928.0,-68.0,2025-07-06,11,True,2025-07
2025-07-06 12:00:00,2025.0,1895.0,-130.0,2025-07-06,12,True,2025-07
2025-07-06 13:00:00,2225.0,2131.0,-94.0,2025-07-06,13,True,2025-07
2025-07-06 14:00:00,2564.0,2697.0,133.0,2025-07-06,14,True,2025-07
2025-07-06 15:00:00,2890.0,2854.0,-36.0,2025-07-06,15,True,2025-07
2025-07-06 16:00:00,3129.0,3051.0,-78.0,2025-07-06,16,True,2025-07
2025-07-06 17:00:00,3360.0,3282.0,-78.0,2025-07-06,17,True,2025-07
