datetime,D,NG,Diff,Day,Hour,CloseToLimit,Month
2025-08-02 20:00:00,2933.0,3119.0,186.0,2025-08-02,20,True,2025-08
2025-08-02 21:00:00,3027.0,3121.0,94.0,2025-08-02,21,True,2025-08
2025-08-02 22:00:00,3144.0,3168.0,24.0,2025-08-02,22,True,2025-08
2025-08-02 23:00:00,3169.0,3119.0,-50.0,2025-08-02,23,True,2025-08
2025-08-03 00:00:00,3056.0,2999.0,-57.0,2025-08-03,0,True,2025-08
2025-08-03 20:00:00,2871.0,2828.0,-43.0,2025-08-03,20,True,2025-08
2025-08-03 21:00:00,2972.0,2764.0,-208.0,2025-08-03,21,True,2025-08
2025-08-03 22:00:00,3064.0,2879.0,-185.0,2025-08-03,22,True,2025-08
2025-08-03 23:00:00,3080.0,3112.0,32.0,2025-08-03,23,True,2025-08
2025-08-04 00:00:00,3030.0,3109.0,79.0,2025-08-04,0,True,2025-08
2025-08-04 20:00:00,3295.0,3301.0,6.0,2025-08-04,20,True,2025-08
2025-08-04 21:00:00,3432.0,3362.0,-70.0,2025-08-04,21,True,2025-08
2025-08-04 22:00:00,3509.0,3308.0,-201.0,2025-08-04,22,True,2025-08
2025-08-04 23:00:00,3573.0,3342.0,-231.0,2025-08-04,23,True,2025-08
2025-08-05 00:00:00,3544.0,3356.0,-188.0,2025-08-05,0,True,2025-08
2025-08-05 01:00:00,3322.0,3352.0,30.0,2025-08-05,1,True,2025-08
2025-08-05 08:00:00,1842.0,1906.0,64.0,2025-08-05,8,True,2025-08
2025-08-05 09:00:00,1787.0,1772.0,-15.0,2025-08-05,9,True,2025-08
2025-08-05 10:00:00,1795.0,1751.0,-44.0,2025-08-05,10,True,2025-08
2025-08-05 18:00:00,3209.0,3404.0,195.0,2025-08-05,18,True,2025-08
2025-08-05 19:00:00,3423.0,3481.0,58.0,2025-08-05,19,True,2025-08
2025-08-05 20:00:00,3629.0,3478.0,-151.0,2025-08-05,20,True,2025-08
2025-08-05 21:00:00,3759.0,3441.0,-318.0,2025-08-05,21,True,2025-08
2025-08-05 22:00:00,3827.0,3472.0,-355.0,2025-08-05,22,True,2025-08
2025-08-05 23:00:00,3919.0,3528.0,-391.0,2025-08-05,23,True,2025-08
2025-08-06 00:00:00,3857.0,3494.0,-363.0,2025-08-06,0,True,2025-08
2025-08-06 01:00:00,3629.0,3456.0,-173.0,2025-08-06,1,True,2025-08
2025-08-06 02:00:00,3394.0,3419.0,25.0,2025-08-06,2,True,2025-08
2025-08-06 03:00:00,3149.0,3315.0,166.0,2025-08-06,3,True,2025-08
2025-08-06 04:00:00,2828.0,2877.0,49.0,2025-08-06,4,True,2025-08
2025-08-06 05:00:00,2550.0,2587.0,37.0,2025-08-06,5,True,2025-08
2025-08-06 06:00:00,2324.0,2233.0,-91.0,2025-08-06,6,True,2025-08
2025-08-06 07:00:00,2170.0,2105.0,-65.0,2025-08-06,7,True,2025-08
2025-08-06 08:00:00,2052.0,2017.0,-35.0,2025-08-06,8,True,2025-08
2025-08-06 09:00:00,1972.0,1947.0,-25.0,2025-08-06,9,True,2025-08
2025-08-06 10:00:00,1960.0,1952.0,-8.0,2025-08-06,10,True,2025-08
2025-08-06 11:00:00,2001.0,1999.0,-2.0,2025-08-06,11,True,2025-08
2025-08-06 12:00:00,2099.0,2160.0,61.0,2025-08-06,12,True,2025-08
2025-08-06 18:00:00,3452.0,3662.0,210.0,2025-08-06,18,True,2025-08
2025-08-06 20:00:00,3766.0,3990.0,224.0,2025-08-06,20,True,2025-08
2025-08-06 22:00:00,3919.0,4046.0,127.0,2025-08-06,22,True,2025-08
2025-08-06 23:00:00,3963.0,3919.0,-44.0,2025-08-06,23,True,2025-08
2025-08-07 00:00:00,3908.0,3893.0,-15.0,2025-08-07,0,True,2025-08
2025-08-07 01:00:00,3689.0,3823.0,134.0,2025-08-07,1,True,2025-08
2025-08-07 07:00:00,2206.0,2324.0,118.0,2025-08-07,7,True,2025-08
2025-08-07 08:00:00,2089.0,2085.0,-4.0,2025-08-07,8,True,2025-08
2025-08-07 09:00:00,2031.0,2014.0,-17.0,2025-08-07,9,True,2025-08
2025-08-07 20:00:00,3686.0,3812.0,126.0,2025-08-07,20,True,2025-08
2025-08-07 21:00:00,3805.0,3996.0,191.0,2025-08-07,21,True,2025-08
2025-08-07 22:00:00,3906.0,3906.0,0.0,2025-08-07,22,True,2025-08
2025-08-07 23:00:00,3938.0,3816.0,-122.0,2025-08-07,23,True,2025-08
2025-08-08 00:00:00,3880.0,3611.0,-269.0,2025-08-08,0,True,2025-08
2025-08-08 01:00:00,3699.0,3608.0,-91.0,2025-08-08,1,True,2025-08
2025-08-08 02:00:00,3507.0,3517.0,10.0,2025-08-08,2,True,2025-08
2025-08-08 03:00:00,3332.0,3430.0,98.0,2025-08-08,3,True,2025-08
2025-08-08 04:00:00,3036.0,3155.0,119.0,2025-08-08,4,True,2025-08
2025-08-08 05:00:00,2753.0,2876.0,123.0,2025-08-08,5,True,2025-08
2025-08-08 06:00:00,2528.0,2683.0,155.0,2025-08-08,6,True,2025-08
2025-08-08 09:00:00,2224.0,2352.0,128.0,2025-08-08,9,True,2025-08
2025-08-08 10:00:00,2193.0,2332.0,139.0,2025-08-08,10,True,2025-08
2025-08-08 12:00:00,2330.0,2478.0,148.0,2025-08-08,12,True,2025-08
2025-08-08 13:00:00,2459.0,2592.0,133.0,2025-08-08,13,True,2025-08
2025-08-08 19:00:00,4064.0,4204.0,140.0,2025-08-08,19,True,2025-08
2025-08-08 20:00:00,4225.0,4296.0,71.0,2025-08-08,20,True,2025-08
2025-08-08 21:00:00,4355.0,4262.0,-93.0,2025-08-08,21,True,2025-08
