datetime,D,NG,Diff,Day,Hour,CloseToLimit,Month
2024-09-01 00:00:00,3247.0,2627.0,-620.0,2024-09-01,0,True,2024-09
2024-09-01 01:00:00,3041.0,2587.0,-454.0,2024-09-01,1,True,2024-09
2024-09-01 02:00:00,2920.0,2487.0,-433.0,2024-09-01,2,True,2024-09
2024-09-01 03:00:00,2749.0,2452.0,-297.0,2024-09-01,3,True,2024-09
2024-09-01 04:00:00,2535.0,2344.0,-191.0,2024-09-01,4,True,2024-09
2024-09-01 05:00:00,2308.0,2149.0,-159.0,2024-09-01,5,True,2024-09
2024-09-01 06:00:00,2124.0,1993.0,-131.0,2024-09-01,6,True,2024-09
2024-09-01 07:00:00,2007.0,1949.0,-58.0,2024-09-01,7,True,2024-09
2024-09-01 08:00:00,1921.0,1913.0,-8.0,2024-09-01,8,True,2024-09
2024-09-01 09:00:00,1833.0,1857.0,24.0,2024-09-01,9,True,2024-09
2024-09-01 10:00:00,1825.0,1832.0,7.0,2024-09-01,10,True,2024-09
2024-09-01 11:00:00,1802.0,1861.0,59.0,2024-09-01,11,True,2024-09
2024-09-01 12:00:00,1812.0,1923.0,111.0,2024-09-01,12,True,2024-09
2024-09-01 14:00:00,2182.0,2199.0,17.0,2024-09-01,14,True,2024-09
2024-09-01 15:00:00,2408.0,2327.0,-81.0,2024-09-01,15,True,2024-09
2024-09-01 16:00:00,2610.0,2631.0,21.0,2024-09-01,16,True,2024-09
2024-09-01 17:00:00,2862.0,2700.0,-162.0,2024-09-01,17,True,2024-09
2024-09-01 18:00:00,3098.0,2825.0,-273.0,2024-09-01,18,True,2024-09
2024-09-01 19:00:00,3287.0,2891.0,-396.0,2024-09-01,19,True,2024-09
2024-09-01 20:00:00,3438.0,2996.0,-442.0,2024-09-01,20,True,2024-09
2024-09-01 21:00:00,3514.0,2977.0,-537.0,2024-09-01,21,True,2024-09
2024-09-01 22:00:00,3589.0,2934.0,-655.0,2024-09-01,22,True,2024-09
2024-09-01 23:00:00,3570.0,2930.0,-640.0,2024-09-01,23,True,2024-09
2024-09-02 00:00:00,3424.0,2949.0,-475.0,2024-09-02,0,True,2024-09
2024-09-02 01:00:00,3110.0,2849.0,-261.0,2024-09-02,1,True,2024-09
2024-09-02 02:00:00,2900.0,2688.0,-212.0,2024-09-02,2,True,2024-09
2024-09-02 03:00:00,2674.0,2449.0,-225.0,2024-09-02,3,True,2024-09
2024-09-02 04:00:00,2429.0,2051.0,-378.0,2024-09-02,4,True,2024-09
2024-09-02 05:00:00,2174.0,1670.0,-504.0,2024-09-02,5,True,2024-09
2024-09-02 06:00:00,1938.0,1511.0,-427.0,2024-09-02,6,True,2024-09
2024-09-02 07:00:00,1788.0,1414.0,-374.0,2024-09-02,7,True,2024-09
2024-09-02 08:00:00,1703.0,1455.0,-248.0,2024-09-02,8,True,2024-09
2024-09-02 09:00:00,1625.0,1363.0,-262.0,2024-09-02,9,True,2024-09
2024-09-02 10:00:00,1614.0,1326.0,-288.0,2024-09-02,10,True,2024-09
2024-09-02 11:00:00,1600.0,1330.0,-270.0,2024-09-02,11,True,2024-09
2024-09-02 12:00:00,1628.0,1353.0,-275.0,2024-09-02,12,True,2024-09
2024-09-02 13:00:00,1708.0,1475.0,-233.0,2024-09-02,13,True,2024-09
2024-09-02 14:00:00,1901.0,1718.0,-183.0,2024-09-02,14,True,2024-09
2024-09-02 15:00:00,2070.0,1809.0,-261.0,2024-09-02,15,True,2024-09
2024-09-02 16:00:00,2270.0,2004.0,-266.0,2024-09-02,16,True,2024-09
